album,artist,sentiment
Spine of God,Monster Magnet,0.528596121336448
Steptacular,Steps,0.4266236356383936
Rusty,Rodan,0.44421918490674406
Yield,Pearl Jam,0.41292452880812625
Between 10th & 11th,The Charlatans,0.4438276023481278
Total Death,Darkthrone,0.37516529475045546
Hammerheart,Bathory,0.5171825035152964
Unification,Iron Savior,0.412581568145987
Boheme,Deep Forest,0.48121074943646114
Anodyne,Uncle Tupelo,0.44624968786584457
Jade to the Max,Jade,0.7456626979512704
"White Light, White Heat, White Trash",Social Distortion,0.4845561678999477
Secret Samadhi,Live,0.4535119018346794
Here to Save You All,Chino XL,0.4736682088453807
Twenty-Eight Teeth,Buck-O-Nine,0.4940774526976637
Pork Soda,Primus,0.5045417624839308
One Track Mind,Railroad Jerk,0.34089109317440636
Raise,Swervedriver,0.40031813361611773
Jubilation,The Band,0.4629684965719677
Midnight Marauders,A Tribe Called Quest,0.49863740779317084
Red Apple Falls,Smog,0.5315242321499792
Adrenaline,Deftones,0.5188319331638279
John Henry,They Might Be Giants,0.5924334939093607
Ixnay on the Hombre,The Offspring,0.44128873610818486
This Is Me,Randy Travis,0.47544769382570823
Train a Comin',Steve Earle,0.41720803372179516
Whereabouts,Ron Sexsmith,0.5147070827166554
Take Me as I Am,Faith Hill,0.4425860019130897
Reject All American,Bikini Kill,0.4607100119664926
Nomads Indians Saints,Indigo Girls,0.542895870942803
Coolin' at the Playground Ya Know!,Another Bad Creation,0.5046517596198691
Yesterday Went Too Soon,Feeder,0.6010408211094533
Woke up with a Monster,Cheap Trick,0.46297534139903074
Letting Off the Happiness,Bright Eyes,0.454977625149581
Freak*on*ica,Girls Against Boys,0.46744339729354806
Perfect Teeth,Unrest,0.4281432549608748
Innuendo,Queen,0.3997518060541587
Phoenix Rising,The Temptations,0.617449355312749
Goldfly,Guster,0.40428111331938665
Autobiography of Mistachuck,Chuck D,0.11629016578739398
Inside the Torn Apart,Napalm Death,0.40941579792796445
Straight on Till Morning,Blues Traveler,0.5198370622862036
Supermodel of the World,RuPaul,0.649221098015235
Chamber Music,Coal Chamber,0.3680341659893648
Miles from Our Home,Cowboy Junkies,0.5516137423908702
Doubt,Jesus Jones,0.520049280733159
Selected Ambient Works 85-92,Aphex Twin,0.9999999999999991
Act Like You Know,MC Lyte,0.4347381617186161
Woman's Gotta Have It,Cornershop,0.5434582111885653
God's Great Banana Skin,Chris Rea,0.4314696627221555
One Foot In The Grave,Beck,0.39945349283687864
Second Coming,The Stone Roses,0.5368709216261645
A Social Grace,Psychotic Waltz,0.48007726018155844
The Downward Spiral,Nine Inch Nails,0.3903119266055042
Curb,Nickelback,0.43176970096378287
The It Girl,Sleeper,0.5065459570345879
Desireless,Eagle-Eye Cherry,0.42738151358015664
Livin' It Up,George Strait,0.5167387053953841
Viva Last Blues,Palace Music,0.42107305025380903
All the Pain Money Can Buy,Fastball,0.46208183224537386
Heavy Mental,Killah Priest,0.4691332867006197
Above,Mad Season,0.19523515973456124
Anything Is Possible,Debbie Gibson,0.47444387441446945
Scraps at Midnight,Mark Lanegan,0.4377457404980332
Better Living Through Chemistry,Fatboy Slim,0.4586358197048255
East Side Militia,Chemlab,0.4196410051854803
Teatro,Willie Nelson,0.5559467453394639
Innamorata,Pat Benatar,0.598222477064219
